Start,End,Open,High,Low,Close,Volume,Market Cap
2024-09-21,2024-09-22,63112.9,63519.41,62823.98,63389.92,94051059382.0453,1246516946650.5818
2024-09-20,2024-09-21,62935.88,64053.96,62400.04,63102.03,115934019619.80139,1248769660324.1533
2024-09-19,2024-09-20,61831.96,63819.92,61592,62953.98,127035448554.81534,1237744694233.0417
2024-09-18,2024-09-19,60313.98,61449.14,59216.01,61449.14,110043990808.47038,1188172297080.9094
2024-09-17,2024-09-18,58267.94,61259.99,57620,60303.5,101668766635.31708,1172633447284.5715
2024-09-16,2024-09-17,59191.96,59191.96,57549.78,58229.2,94703021874.56445,1152253111991.209
2024-09-15,2024-09-16,59999.98,60375.64,58855.95,59198.11,77829620369.19164,1184977871771.244
2024-09-14,2024-09-15,60560.04,60590.1,59530.84,59987.93,100482054719.06621,1185546465171.9966
2024-09-13,2024-09-14,58153.97,60593.91,57688.82,60575.47,101420595997.81184,1159355964877.5889
2024-09-12,2024-09-13,57371.99,58514.55,57371.99,58116.05,112051169145.18466,1146172572942.6272
2024-09-11,2024-09-12,57600.01,57960.58,55588.99,57364.02,108220528609.446,1124141546458.115
2024-09-10,2024-09-11,56964.02,57984.81,56487.58,57627.99,103703769724.7317,1128119592931.965
2024-09-09,2024-09-10,54777.01,57869.99,54624.95,57031.98,95723896724.91228,1099907178125.3613
2024-09-08,2024-09-09,54116.16,55228.47,53694.23,54823.96,77973295408.60278,1073878187187.4844
2024-09-07,2024-09-08,53976.04,54810.03,53767.28,54188.32,121445897017.69337,1071141347783.9269
2024-09-06,2024-09-07,56209.17,56896.3,52738,53922.68,120787253459.05226,1091996852510.7631
2024-09-05,2024-09-06,58006.56,58284.98,55835,56170.04,115814349011.1324,1121929134241.6099
2024-09-04,2024-09-05,57644.03,58489.96,55737.91,57984.05,119214510126.47386,1129078127994.1116
2024-09-03,2024-09-04,59105.91,59764,57544.01,57544.01,110839951228.43205,1157513796045.655
2024-09-02,2024-09-03,57333.38,59350.72,57297.96,59127.62,111999098228.25435,1149670462101.4739
2024-09-01,2024-09-02,58972.96,59038.16,57268.97,57341.08,99808533702.47038,1149971682521.6794
2024-08-31,2024-09-01,59115.46,59382.99,58800.05,58965.98,102719941863.68292,1166833451801.5227
2024-08-30,2024-08-31,59295.05,59763.02,57944,59158,106977637878.67247,1166363249388.6794
2024-08-29,2024-08-30,59076.95,61106.97,58821.98,59348.98,110310423675.44948,1178040523912.0732
2024-08-28,2024-08-29,59320.04,60162,57933.03,59034.65,125193171751.83275,1170041472108.021
